years,TMAX,TMIN,t90,t95,t100
1947,36.723880597014926,25.388059701492534,0,0,0
1948,56.784153005464475,37.42349726775957,14,1,0
1949,57.91872146118718,37.74794520547946,10,0,0
1950,54.505479452054786,33.76529680365296,1,0,0
1951,53.49406392694063,34.900913242009146,0,0,0
1952,56.62204007285975,37.84699453551913,3,0,0
1953,57.99543378995438,39.046575342465744,13,3,0
1954,56.705022831050215,38.74337899543376,4,0,0
1955,56.80913242009132,37.789497716894964,23,7,0
1956,56.87340619307832,37.260473588342414,5,0,0
1957,56.286757990867564,37.35433789954339,3,0,0
1958,56.58447488584475,36.228767123287646,4,0,0
1959,55.8337899543379,37.04063926940639,6,0,0
1960,55.17030965391623,36.85974499089251,6,0,0
1961,56.67579908675802,37.4634703196347,5,0,0
1962,55.22739726027402,36.73059360730596,2,0,0
1963,56.96347031963466,35.41004566210043,7,1,0
1964,58.85792349726777,37.204007285974505,22,3,0
1965,56.41415525114152,36.34337899543378,7,2,0
1966,56.34794520547947,35.17762557077627,9,1,0
1967,55.492694063926926,35.56894977168949,0,0,0
1968,57.66803278688522,37.18579234972678,7,0,0
1969,55.59269406392697,35.937899543379004,0,0,0
1970,56.69589041095888,36.64474885844749,5,0,0
1971,57.64406392694063,36.60525114155252,4,0,0
1972,54.29826958105648,34.4011839708561,5,0,0
1973,57.90456621004567,39.208904109589035,7,0,0
1974,56.51506849315069,36.248173515981726,6,0,0
1975,57.271917808219186,36.62214611872145,0,0,0
1976,56.88797814207647,31.87841530054645,16,2,0
1977,56.75296803652967,34.240867579908674,10,2,0
1978,55.21255707762557,32.47739726027397,5,1,0
1979,54.73607305936072,32.086986301369855,0,0,0
1980,55.50933515482702,34.108834244080136,5,0,0
1981,57.29977168949772,35.1513698630137,1,0,0
1982,54.48219178082192,33.78607305936073,1,0,0
1983,55.863698630136994,35.3527397260274,20,1,0
1984,56.32172131147541,34.14890710382514,3,0,0
1985,55.210958904109596,33.66027397260274,2,0,0
1986,56.273972602739754,35.601598173515995,2,0,0
1987,59.2159817351598,36.884018264840186,14,0,0
1988,58.61999089253188,33.30031876138434,38,16,3
1989,55.86689497716894,32.95707762557078,10,2,0
1990,58.62077625570777,35.93447488584475,3,0,0
1991,58.22328767123289,35.07123287671233,13,0,0
1992,55.821038251366126,35.672814207650276,3,0,0
1993,55.009589041095886,35.287899543379005,0,0,0
1994,56.694748858447475,35.18744292237442,7,1,0
1995,55.871004566210054,35.718949771689466,15,3,0
1996,53.442167577413514,33.367486338797804,0,0,0
1997,54.92990867579905,35.611643835616434,0,0,0
1998,59.48515981735159,40.373287671232866,0,0,0
1999,58.73744292237442,38.091780821917794,8,1,0
2000,56.82627504553735,37.28529143897998,2,0,0
2001,57.98173515981737,38.864611872146114,10,0,0
2002,57.70662100456622,38.30022831050229,11,0,0
2003,56.83383561643832,35.923972602739724,7,0,0
2004,56.443260473588296,37.006056466302354,0,0,0
2005,57.67739726027399,37.89584474885845,9,0,0
2006,57.839634703196346,39.21936073059362,5,0,0
2007,57.41333333333337,38.339680365296815,3,0,0
2008,54.820127504553746,34.90701275045535,0,0,0
2009,55.07525114155247,35.808493150684946,2,0,0
2010,57.99863013698629,38.56278538812785,2,0,0
2011,56.849543378995435,37.86118721461187,8,0,0
2012,61.423952641165755,40.18715846994535,26,7,2
2013,54.9851598173516,35.360958904109594,9,0,0
2014,53.8134703196347,34.00867579908675,0,0,0
2015,57.49223744292238,37.505022831050226,1,0,0
2016,58.22495446265939,39.62682149362478,1,0,0
2017,57.79703196347032,38.39543378995433,3,0,0
2018,55.87191780821917,37.35159817351597,4,0,0
2019,55.335610200364314,36.63479052823315,1,0,0
