years,TMAX,TMIN,t90,t95,t100
1947,57.753731343283576,37.40298507462686,0,0,0
1948,71.29098360655743,50.11020036429874,56,4,0
1949,72.12420091324199,52.752739726027386,35,3,0
1950,70.32694063926935,52.05844748858445,19,2,0
1951,71.37625570776255,52.15707762557077,66,13,3
1952,72.63183060109289,52.38979963570129,86,41,6
1953,73.90890410958903,53.17739726027399,88,39,5
1954,74.38881278538813,53.41301369863013,104,57,17
1955,71.96073059360731,52.73561643835615,55,5,0
1956,72.66006375227683,52.70765027322405,65,17,2
1957,70.65461187214609,52.86022831050229,36,2,0
1958,68.9827397260274,50.51383561643837,39,3,0
1959,71.1054794520548,51.89506849315069,30,0,0
1960,69.48196721311477,50.840710382513656,51,13,0
1961,69.9424657534247,50.67808219178082,35,0,0
1962,70.68073059360731,51.53557077625571,54,3,0
1963,71.17031963470323,50.587397260273974,42,6,0
1964,71.45928961748632,51.3608378870674,50,7,0
1965,71.92826484018266,52.127899543379,45,3,0
1966,70.02936073059361,50.06726027397257,39,16,0
1967,71.07283105022836,50.87187214611875,17,0,0
1968,70.16320582877964,50.213387978142116,52,5,0
1969,70.6489497716895,49.92776255707759,56,19,2
1970,70.75406392694062,50.606575342465746,51,6,0
1971,72.34283105022831,51.33105022831048,42,6,0
1972,71.30901639344259,50.99845173041896,47,6,0
1973,72.0007762557077,52.82022831050226,53,2,0
1974,71.35388127853878,51.83570776255711,29,4,0
1975,71.13972602739723,52.036073059360746,49,4,0
1976,70.57240437158472,49.62595628415296,36,5,0
1977,72.55698630136989,52.162922374429186,70,26,0
1978,70.59561643835609,50.41972602739728,66,10,0
1979,69.33315068493148,50.27365296803654,30,1,0
1980,72.16830601092893,51.420901639344244,91,53,14
1981,72.37232876712324,50.86438356164381,51,20,0
1982,71.1467123287671,51.04808219178082,43,3,0
1983,70.327397260274,50.73452054794522,68,23,0
1984,71.26475409836064,51.36202185792353,38,0,0
1985,71.02520547945204,50.69479452054798,50,5,0
1986,73.00054794520554,52.62369863013698,69,19,4
1987,73.54726027397255,52.2593150684932,71,15,1
1988,72.20195810564661,50.76438979963571,72,15,0
1989,70.10205479452053,49.915114155251125,37,0,0
1990,73.74557077625569,52.351506849315065,62,29,0
1991,72.07945205479452,52.73506849315067,49,10,0
1992,70.66211293260473,50.841985428051004,22,0,0
1993,70.28,50.61031963470322,69,19,0
1994,71.33570776255709,51.52374429223745,28,0,0
1995,71.64529680365301,50.730045662100466,51,10,0
1996,69.99599271402549,49.94867941712202,36,0,0
1997,69.70780821917813,49.807488584474875,37,3,0
1998,73.3123026744944,53.354233529028065,78,21,0
1999,73.45368558382253,50.92550554468362,64,18,0
2000,72.100572469425,50.278057507155886,64,29,9
2001,72.50251141552509,50.61751467710372,45,6,0
2002,71.012471189389,51.303243096325254,59,8,0
2003,70.86922918025653,50.140938247445106,31,5,0
2004,71.79659987856705,51.42516697024893,24,1,0
2005,73.11795933898674,51.42937160252232,65,22,0
2006,73.72074363992174,51.29219830397914,78,27,1
2007,74.55770167427697,52.49262557077623,79,28,10
2008,71.36809784022896,50.04761037383992,55,11,0
2009,70.68996412263525,51.05617199391171,41,7,0
2010,72.72240595781693,50.76906175255486,95,28,2
2011,72.88190911067628,51.51947706023049,86,30,2
2012,74.75317135050744,52.35336976320581,71,27,3
2013,70.13978582300497,49.66828658403999,45,4,0
2014,69.4948249619482,48.85201130680583,29,3,0
2015,72.31423679060661,51.733425744727114,59,12,0
2016,73.8552996790702,53.0399210686096,73,9,0
2017,73.48192541856923,52.82146118721462,34,3,0
2018,71.85505544683626,51.785072841922165,76,5,0
2019,72.4548800850031,52.17348642553561,71,13,0
