years,TMAX,TMIN,t90,t95,t100
1947,37.50746268656718,23.869936034115142,0,0,0
1948,56.95270188221012,37.45732392228293,12,2,0
1949,58.073021308980216,38.477016742770154,10,0,0
1950,54.14223744292238,35.31088823657317,0,0,0
1951,53.73607197216784,35.58905700844055,0,0,0
1952,56.96926229508195,38.58787878787882,7,0,0
1953,58.75419261104189,39.69814030718139,16,6,0
1954,57.22459111664594,39.11675383976755,3,0,0
1955,57.98926525529267,38.07696139476962,25,6,0
1956,57.07446597118728,37.767375945244815,4,0,0
1957,56.19910336239101,37.58209215442096,3,0,0
1958,56.411407222913994,36.511506849315055,5,0,0
1959,56.21565103085649,37.3459222360592,12,1,0
1960,55.2215019042888,37.125546448087405,3,0,0
1961,56.72204234122046,37.97166874221666,7,0,0
1962,55.44232046492319,36.5623910336239,2,0,0
1963,56.29200913242004,35.54686591946865,5,1,0
1964,57.916944985797464,38.088576496363395,15,1,0
1965,55.54290577002903,36.94510446935104,5,0,0
1966,55.867706357569396,36.3568135517451,8,2,0
1967,55.0908883354089,36.40499792445,2,0,0
1968,57.1846125186289,37.799656400066205,10,0,0
1969,55.36224574512249,36.805022831050216,3,0,0
1970,56.06537982565375,37.14298879202989,9,0,0
1971,56.53713574097136,37.168223329182226,5,0,0
1972,53.529930452061635,35.64000662361318,3,0,0
1973,57.51499377334992,40.20799086757991,9,1,0
1974,55.486725101382646,37.38452916946067,6,0,0
1975,56.37667337228977,38.16898074528211,0,0,0
1976,55.74899053587575,35.02612824334136,6,2,0
1977,55.89235367372353,36.94920713989209,6,1,0
1978,54.522117061021184,35.50829389788293,2,0,0
1979,53.99193302891928,35.365368756053684,0,0,0
1980,55.089879671027184,36.95461445051606,6,0,0
1981,55.93515704995159,37.372768783727686,1,0,0
1982,54.83276947557769,35.886276463262774,0,0,0
1983,55.83174207831743,38.31799916977998,10,1,0
1984,56.30019870839536,37.796025832091395,4,0,0
1985,55.48266500622665,36.537559153175614,4,0,0
1986,55.99153452331535,38.41412757714125,3,0,0
1987,58.294249342742404,40.50347377888475,11,1,0
1988,57.06887522768668,37.23759107468125,30,13,1
1989,54.01993911719936,35.900076103500744,1,0,0
1990,57.334126984127046,38.890851272015645,2,0,0
1991,56.986704718417045,38.776955859969576,9,0,0
1992,54.230115361262854,37.72765634486946,0,0,0
1993,54.050045662100466,37.573059360730575,2,0,0
1994,56.12833333333332,37.64162100456621,3,0,0
1995,55.405628891656285,37.96871731008721,10,3,1
1996,53.23414472594797,35.67109206822319,3,0,0
1997,54.61959319219596,37.21369863013699,1,0,0
1998,59.24829964555992,41.919669827889,1,0,0
1999,58.21040694465353,39.08774650007525,9,1,0
2000,56.10577673692431,38.2515312556296,0,0,0
2001,57.578279391840994,39.29643735260171,6,0,0
2002,57.29116463445226,38.69156806663656,11,0,0
2003,56.01089951144744,36.54059109839929,4,0,0
2004,56.315516223303135,37.45982683072847,0,0,0
2005,57.46051733654477,38.590812383963105,9,0,0
2006,57.624305283757295,40.015408700888145,7,2,0
2007,57.02859414155545,38.63317789181004,2,0,0
2008,54.718415166613035,35.65823266009499,0,0,0
2009,54.74686343174618,36.374100474123786,2,0,0
2010,57.65055584165891,39.09052391252101,0,0,0
2011,55.784826246812536,37.890796289277546,6,2,0
2012,60.1951897173115,39.99952775359426,19,7,2
2013,54.36640538348419,35.42234947241406,7,0,0
2014,52.68478969908393,33.88745029637822,0,0,0
2015,56.63907964181939,37.70781592836389,1,0,0
2016,57.78772767114014,39.84759501834564,2,0,0
2017,57.246257538824274,38.8702650461771,2,0,0
2018,55.39224009526906,37.37566965358602,5,0,0
2019,54.605175050559005,36.54756109710687,1,0,0
