years,TMAX,TMIN,t90,t95,t100
1947,31.940298507462693,18.2636815920398,0,0,0
1948,55.782786885245905,36.19216757741349,23,6,0
1949,56.46666666666666,37.047488584474905,29,9,0
1950,51.56438356164382,32.98264840182647,9,2,0
1951,50.616438356164466,33.8945205479452,1,0,0
1952,55.140255009107456,36.80282331511838,13,0,0
1953,56.40365296803654,37.85525114155251,13,1,0
1954,54.77123287671233,37.861643835616434,5,0,0
1955,55.21917808219178,36.164383561643845,28,10,2
1956,54.533242258652095,36.08151183970855,8,4,1
1957,54.530136986301365,36.51917808219178,7,0,0
1958,55.51689497716903,36.36621004566209,5,0,0
1959,55.18447488584474,37.05753424657535,17,0,0
1960,54.02322404371585,34.916211293260496,10,0,0
1961,54.960730593607295,35.88949771689501,8,1,0
1962,53.06712328767122,34.23698630136986,1,0,0
1963,55.428310502283104,35.3689497716895,7,1,0
1964,56.63752276867032,36.14116575591989,27,5,0
1965,52.47123287671232,34.18812785388129,5,0,0
1966,53.76803652968033,34.010958904109614,12,2,0
1967,53.60547945205478,33.83470319634703,0,0,0
1968,55.30327868852459,36.2185792349727,7,0,0
1969,54.3936073059361,35.44931506849315,8,0,0
1970,54.14794520547945,34.972602739726035,14,0,0
1971,54.07762557077626,35.10319634703198,5,0,0
1972,51.352459016393404,32.99089253187614,7,1,0
1973,56.02922374429226,38.25296803652967,7,1,0
1974,54.93789954337901,35.45205479452056,8,2,0
1975,54.33835616438356,35.843378995433795,11,1,0
1976,56.56466302367946,34.56466302367939,22,7,0
1977,55.487214611872155,36.433789954337904,8,1,0
1978,54.152511415525076,34.582648401826475,12,0,0
1979,52.440182648401816,34.097716894977175,4,0,0
1980,55.693989071038295,35.567395264116605,13,3,0
1981,56.731963470319606,37.08127853881278,2,0,0
1982,54.14497716894977,35.19771689497718,8,4,0
1983,54.69543378995435,37.54566210045662,21,2,0
1984,55.35450819672131,36.91347905282332,6,0,0
1985,54.07648401826485,34.69132420091325,4,1,1
1986,55.738812785388106,37.43926940639272,6,0,0
1987,60.40662100456621,40.66461187214612,20,2,0
1988,57.83993624772314,36.30214025500911,42,15,3
1989,54.77146118721463,33.878995433789946,9,1,0
1990,57.92150684931512,36.85885844748857,4,1,1
1991,55.6161643835616,36.067671232876684,12,0,0
1992,54.5537340619308,36.14007285974497,2,0,0
1993,52.959634703196315,34.40602739726028,1,0,0
1994,55.535890410958885,35.504155251141576,4,1,0
1995,54.43406392694065,35.578630136986305,15,4,1
1996,52.05550676554774,32.500585480093676,5,1,0
1997,54.164025875190255,35.44040117416828,6,0,0
1998,58.3663633398565,39.593617090671884,7,0,0
1999,57.597678843226774,37.859771689497684,17,5,0
2000,55.76847298117789,36.44407255616272,6,0,0
2001,56.68287997390738,37.32499021526414,18,5,0
2002,55.39134703196351,37.23017503805175,12,1,0
2003,55.72390410958898,36.09915525114154,11,2,0
2004,55.272821797207044,36.891302367941705,2,0,0
2005,56.923033268101825,38.77015873015873,16,1,0
2006,57.7761491628615,39.68999999999999,12,6,0
2007,56.51200478364864,38.158289845618604,14,1,0
2008,53.82489157776042,35.02170287969472,4,0,0
2009,54.19715046749293,36.17108719286803,4,0,0
2010,56.48194824961947,38.2983257229833,10,0,0
2011,55.3750076103501,37.57960426179604,9,3,0
2012,59.177808136004884,40.26417729204615,13,5,0
2013,52.47522070015218,35.16885844748858,8,0,0
2014,51.376255707762546,33.764322678843214,0,0,0
2015,56.392541856925405,38.92706240487063,0,0,0
2016,57.07635094110504,40.17859744990892,6,0,0
2017,55.985783866057844,38.41635464231355,2,0,0
2018,53.97286910197872,36.84596651445965,11,1,0
2019,52.31023397519301,35.77240003469514,2,0,0
