years,TMAX,TMIN,t90,t95,t100
1947,56.36815920398009,34.33830845771144,0,0,0
1948,71.01366120218579,47.89298724954463,58,13,1
1949,71.02356164383558,49.56936073059361,29,0,0
1950,69.18452054794516,47.96356164383562,12,0,0
1951,70.50410958904106,48.23013698630135,54,10,1
1952,71.95765027322405,48.69275956284151,76,44,13
1953,73.20493150684929,48.81493150684932,79,26,1
1954,72.73940639269408,49.002191780821896,91,44,11
1955,71.18246575342468,48.063652968036564,57,9,0
1956,71.57336065573772,48.76625683060111,56,13,0
1957,70.1458447488584,49.293515981735155,43,4,0
1958,67.80039138943246,45.810567514677075,29,0,0
1959,70.19641226353554,47.912654924983684,31,0,0
1960,68.06717408274781,45.84393702836328,39,5,0
1961,69.15668623613827,46.32286366601436,23,0,0
1962,69.87940313111547,46.25133724722769,57,8,0
1963,69.5096270928462,44.095776255707776,25,2,0
1964,70.75948694596241,46.083712811171814,52,7,0
1965,70.59764079147638,46.475053272450545,23,3,0
1966,68.51454120460969,45.24146553598608,32,10,1
1967,69.37782343987824,45.77753424657534,10,0,0
1968,68.74104432301152,44.52291287188827,43,10,0
1969,68.65928462709289,44.75468362687539,48,10,0
1970,69.34229615133725,45.747396173081114,47,1,0
1971,70.27035225048924,46.19633072407046,24,2,0
1972,69.3794073640385,45.89363778298206,28,0,0
1973,70.43689497716895,47.119347684279184,30,0,0
1974,69.92674494455309,46.619373776908,15,0,0
1975,69.93929876060012,46.53276255707762,43,1,0
1976,68.18055555555553,42.844376138433525,16,0,0
1977,69.81745488149596,45.1331919982605,47,12,0
1978,68.58581213307241,44.01183953033268,48,8,0
1979,67.49574363992171,44.2855675146771,15,0,0
1980,69.75391946396047,45.263661202185794,71,28,3
1981,69.06839530332681,45.098091976516635,26,0,0
1982,69.47387475538163,46.42553816046966,20,0,0
1983,68.8552511415525,45.71836268754078,61,26,3
1984,69.4707357533177,45.818501170960175,22,0,0
1985,69.35445205479454,46.29350945857796,36,4,0
1986,70.82739726027397,47.347292889758656,48,11,0
1987,70.91296477495108,46.508855185909994,47,5,0
1988,69.89030379911529,43.910177595628404,61,26,6
1989,67.73850293542074,44.691976516634064,21,0,0
1990,71.81629158512719,46.7123994346597,50,19,5
1991,70.8439117199391,47.793797564688,43,8,0
1992,68.51825288403154,45.953589860352146,14,0,0
1993,68.88885083713853,45.4992389649924,53,19,0
1994,69.30889867362474,46.32224940204392,19,0,0
1995,69.57648401826488,45.929718417047155,46,10,0
1996,68.10946851418161,45.08500303582271,24,0,0
1997,68.18039791258967,44.530348988910646,31,2,0
1998,71.62823874755377,48.56856925418572,52,3,0
1999,72.16838660578391,46.86065557729943,56,20,2
2000,70.19097394712152,46.578144836341544,45,7,0
2001,70.18731921046987,46.863704837556575,22,0,0
2002,69.87624938927935,47.93696702369782,51,5,0
2003,68.31000100563395,46.79437844155832,18,0,0
2004,69.43204569336119,48.07485572793014,8,0,0
2005,70.3763684998152,47.7811609974439,44,8,0
2006,70.82573415536498,47.512452339306755,43,9,0
2007,72.7166310613298,48.12375422905177,69,27,11
2008,69.30672110817717,45.86438034330162,32,3,0
2009,68.12273760594869,46.411087704115666,17,0,0
2010,69.7682109064814,46.35805776191754,71,18,1
2011,70.21143839891019,47.62467082618015,61,14,1
2012,72.57505821509649,48.39799626701802,49,15,8
2013,67.91297120243895,46.34617413324133,17,0,0
2014,67.8922046918874,45.21456854048781,26,0,0
2015,69.91194285756508,47.578606935990614,29,0,0
2016,71.67717158363504,48.59882510328891,52,0,0
2017,71.41253917535637,49.322954129916134,22,2,0
2018,69.90248771208906,48.97550657893975,54,2,0
2019,71.26353073022551,48.84098947697768,51,9,0
