years,TMAX,TMIN,t90,t95,t100
1947,46.82158106566239,30.81320011453825,0,0,0
1948,61.40276733358143,42.641670640806716,9,4,0
1949,64.48855320102841,45.420937060280465,20,8,0
1950,60.902359636023796,43.01186306884435,5,0,0
1951,62.462722786861114,44.21930322758419,1,0,0
1952,62.63431363809965,44.7824123096517,12,1,0
1953,64.28939979780128,45.605241048353605,17,9,0
1954,62.54349499189865,44.0245597657976,10,2,0
1955,62.323837089409345,44.4320721019296,22,9,0
1956,60.899701113714706,43.71256959133909,6,1,0
1957,62.79708987049864,44.65783896291232,11,3,1
1958,59.40465126504993,42.956722210652906,3,0,0
1959,62.71222326082465,45.098780576559065,13,0,0
1960,61.17756262357355,43.6115303660112,0,0,0
1961,61.63068527442377,44.10797494643532,10,0,0
1962,60.76574375078964,42.27283740321619,6,0,0
1963,61.49675956106631,42.23605869294497,12,5,0
1964,62.539276406257905,43.318110722333834,10,1,0
1965,61.73633187003582,43.20251463228056,6,0,0
1966,62.04012355839517,43.679133250311345,19,5,1
1967,60.482746274967845,42.85373250930133,1,0,0
1968,61.54769838441436,43.574072861287775,11,2,0
1969,61.199829714657014,44.2560264561283,9,0,0
1970,61.245588679689895,44.29302106690435,7,0,0
1971,61.88366498857507,44.84629157164057,8,0,0
1972,60.67562675168345,43.66322391772321,6,0,0
1973,63.4462696075019,46.01325671846518,15,2,0
1974,62.260152425299495,44.265970805648585,7,0,0
1975,62.360921840716365,45.306789351417414,5,2,0
1976,61.26714864509057,42.96003124874651,2,0,0
1977,61.33440604462046,43.58588611805112,9,2,0
1978,60.11500186921114,42.31857150235113,2,1,0
1979,61.04830019509764,43.80508608319396,3,0,0
1980,61.568175338560216,43.286405239648296,19,2,0
1981,61.40153999727599,43.38183969317415,7,1,0
1982,61.46754471456675,43.4826580732518,6,2,0
1983,62.66717624280707,44.784500812013405,26,3,0
1984,61.7010569456428,44.2469383842119,6,0,0
1985,62.30001098637001,44.5660261384054,4,0,0
1986,62.142980833153885,44.18066214727356,5,1,0
1987,62.1324412593561,44.24018333301444,15,0,0
1988,61.836895402451326,43.509671760883435,23,3,0
1989,60.72205970690439,43.38231821364009,8,0,0
1990,64.1075178289905,45.55539793045701,3,0,0
1991,64.4530540493852,45.826414326193955,17,3,0
1992,60.59731810993063,43.46964432006494,3,0,0
1993,61.945655693323936,43.86407649626532,15,3,0
1994,61.97416758782213,43.45606551439432,8,0,0
1995,62.15864466067979,44.34555380057705,15,1,0
1996,60.499387898669795,43.507193012697336,2,0,0
1997,61.79462982055192,43.81792531563819,10,1,0
1998,64.3716127358844,47.27203637498104,5,0,0
1999,63.882711441823986,45.84599873920005,20,4,0
2000,61.08778654326586,44.003450257076366,4,0,0
2001,63.62589835992871,45.45535363762701,10,4,1
2002,63.88155539913732,46.13200536033354,26,4,0
2003,60.527529998094025,44.285719586349735,7,0,0
2004,61.62051741524167,45.381508544412306,1,0,0
2005,62.869325900616104,45.981018794482004,20,3,0
2006,64.48133509364948,47.34938164215022,11,5,0
2007,62.726290726817034,45.597221040783516,9,0,0
2008,62.910817280128356,45.46232504074392,8,2,0
2009,61.355777209946744,45.112726189971326,6,0,0
2010,64.20478481322834,47.433442705609025,31,5,2
2011,63.93552901021022,47.48523856815015,17,3,1
2012,64.76616442394526,48.35560628833293,20,3,0
2013,62.14739136434339,45.82489901650858,12,2,0
2014,61.275019694916956,44.44757514175323,3,0,0
2015,63.70149279943799,45.836715339455054,16,0,0
2016,64.587040373106,46.92512860545649,19,3,0
2017,63.11238674567442,46.61394892778453,8,1,0
2018,62.24711425560749,46.41251355949986,15,2,0
2019,62.48924117776583,46.03228297203708,9,1,0
