years,TMAX,TMIN,t90,t95,t100
1947,47.209633649932144,30.697874265038443,0,0,0
1948,62.303585030634224,42.8181018890035,12,4,2
1949,65.5430427563304,45.453034454130346,28,10,2
1950,61.61264990717049,43.292817000351235,6,0,0
1951,63.10296552762309,44.36802649405387,4,0,0
1952,63.34721972017051,45.05640124902424,20,3,0
1953,64.92105976215568,45.86966731898241,25,10,2
1954,62.99510763209396,44.11970495258164,12,2,0
1955,62.778714436248684,44.42039741080836,27,11,1
1956,61.461403350747645,43.82126343601757,6,2,0
1957,63.29545386120725,44.783004666566256,14,3,1
1958,59.93656480505793,43.13433689598074,3,0,0
1959,63.31093632395006,45.162516935119676,16,0,0
1960,61.682289477371405,43.616783262275035,2,0,0
1961,62.20127023661269,44.35771551127714,14,0,0
1962,61.250083022000844,42.58015774180161,6,1,0
1963,61.97776255707765,42.52146118721458,14,7,0
1964,63.068078324225816,43.660581222056635,14,1,0
1965,62.36537567455375,43.53785803237858,10,0,0
1966,62.80830220008298,44.03445413034454,25,5,2
1967,61.250118306351155,43.09011761450119,4,0,0
1968,62.340700723077795,43.7986297400232,16,4,0
1969,61.94459079733046,44.389455065482466,10,0,0
1970,62.02238925458099,44.356105082132494,13,0,0
1971,62.454612510776904,44.97419612351117,9,0,0
1972,61.452516973008755,43.774784414128675,13,0,0
1973,64.3643659992975,46.26444103841366,20,4,0
1974,63.059824057221356,44.56257783312579,11,0,0
1975,63.05056039850567,45.4874221668742,7,2,0
1976,62.066331346249314,43.112564166252724,9,0,0
1977,62.319446519994486,43.97398920713988,12,4,0
1978,60.95315068493159,42.64671232876713,4,1,0
1979,62.106842396568496,44.30140722291404,8,0,0
1980,62.40139923828446,43.62215258936571,25,5,1
1981,62.075450394354476,43.44669157326695,9,2,0
1982,62.25137678151373,43.77549744015498,10,2,0
1983,63.51691158156908,44.798879202988786,37,7,0
1984,62.42471159684278,44.14978749241043,10,3,0
1985,62.66890410958899,44.119490106544895,5,1,0
1986,62.78248028227478,43.974055624740544,6,2,0
1987,62.98550435865498,44.27437387574375,19,1,0
1988,62.731291052602465,43.578042722305014,36,8,0
1989,61.562936211429346,43.58865089248653,10,0,0
1990,65.26427266797128,45.94959773863885,6,1,0
1991,65.29701743462017,46.060504358655045,22,5,0
1992,61.707288734337865,44.070453855494854,5,0,0
1993,62.948877819288775,44.29136502006361,20,5,0
1994,62.784214750242135,43.78804898298046,11,1,0
1995,62.7000096859001,44.297340528573415,20,1,0
1996,60.874329359165394,43.54668405365123,2,0,0
1997,62.332039573820374,43.79946865919465,14,3,0
1998,65.22523384530234,47.361538674415385,9,0,0
1999,64.57797841427983,45.48817628338178,25,10,1
2000,61.64009260320733,43.45178773867297,7,0,0
2001,64.37378753666435,44.880667597242955,15,5,1
2002,64.61649606101658,45.7349816849817,31,10,0
2003,61.22145845022558,43.880773108170395,10,0,0
2004,62.639073108130475,45.35277294805982,3,0,0
2005,63.88052027120521,46.043165905631675,27,9,0
2006,65.11950186799506,47.18485678704855,15,5,0
2007,63.40394562058947,45.26847031963466,14,1,0
2008,63.66884920634919,44.93470704310868,13,4,0
2009,62.09747227658189,44.714215046749324,9,0,0
2010,64.71708523592085,47.2205098934551,40,7,2
2011,64.60151663405092,47.78226788432265,21,5,2
2012,65.40404089686875,48.52962637696243,24,8,1
2013,62.82712002609258,46.1221135029354,15,3,0
2014,62.07984344422698,44.6650032615786,7,0,0
2015,64.72243966079586,45.89360730593607,25,3,0
2016,65.54884205048135,46.99811345303149,25,6,0
2017,64.08780821917811,47.061826484018276,14,1,0
2018,63.26904109589043,47.00273972602736,27,4,0
2019,63.69936247723136,46.57659380692171,22,3,0
