years,TMAX,TMIN,t90,t95,t100
1947,57.20149253731344,34.41119402985074,0,0,0
1948,72.056362217018,47.992714025500895,83,30,3
1949,71.51459556425309,48.39202544031311,59,15,1
1950,72.28604044357472,47.9581539465101,30,3,0
1951,72.62478256142641,48.420509893455105,76,39,17
1952,74.10071765666028,49.587475949975975,100,55,11
1953,74.15515151515149,50.33909506019091,93,45,18
1954,76.82463262764634,51.09181126331809,109,84,44
1955,73.56111526221108,49.19374844333746,81,35,0
1956,75.46591875034497,49.986665838714984,116,73,28
1957,70.49429223744292,49.39086757990863,65,43,6
1958,70.82469558599693,49.060513155033725,75,30,1
1959,71.46084474885852,48.31354642313546,58,11,0
1960,70.52531117182751,48.31690736403856,61,19,0
1961,70.91046423135464,48.0507610350076,50,14,0
1962,72.61362252663623,49.13799739073711,66,35,13
1963,74.39152414556526,49.29433167289332,94,55,13
1964,73.10052436937681,49.10094179499916,77,41,20
1965,73.4720700152207,50.24893455098941,76,35,10
1966,71.80121765601216,47.97789193302891,54,35,8
1967,72.38290715372906,48.951506849315045,44,16,4
1968,70.13315877352757,47.94008044930176,51,14,3
1969,70.7443226788433,48.70490106544898,67,34,9
1970,71.72750380517502,48.48405631659057,77,45,15
1971,71.89078386605786,48.605844748858395,64,23,5
1972,71.85115252840663,48.45335675253706,76,33,3
1973,70.48513263752989,49.12848445314202,53,10,0
1974,72.3581430745814,48.93123505109809,62,32,5
1975,70.75429223744295,48.11417155903451,41,9,0
1976,72.53096539162112,46.830601092896146,60,29,5
1977,73.89200913242006,50.10566210045662,86,38,5
1978,71.15260273972598,47.950319634703206,82,54,14
1979,70.04972602739721,46.5431506849315,61,10,0
1980,74.51848816029148,48.633515482695806,108,83,44
1981,73.3429680365297,49.59255707762559,66,31,8
1982,71.86767123287669,48.55634703196349,71,33,4
1983,69.75899543378998,48.148767123287676,71,44,13
1984,72.64394353369767,48.956056466302385,88,41,9
1985,70.8646575342466,48.251506849315064,74,40,5
1986,73.02986301369863,51.216849315068515,66,32,11
1987,71.94904109589045,49.68059360730594,59,22,0
1988,72.70969945355185,49.072267759562855,73,46,8
1989,70.66287671232875,48.37205479452057,43,9,0
1990,73.66178082191776,51.108584474885845,82,42,6
1991,72.49931506849319,51.00753424657535,69,22,1
1992,71.5456739526412,50.173588342440794,35,2,0
1993,70.23465753424652,48.895570776255724,59,31,17
1994,72.80972602739728,49.551232876712376,70,34,5
1995,72.20369863013707,49.35191780821918,68,33,7
1996,71.99644808743166,48.37254098360653,52,17,8
1997,70.98858447488584,48.94511415525116,61,25,0
1998,73.96778864970649,51.78100456621007,104,77,37
1999,73.43057729941292,49.95097847358121,64,36,11
2000,71.64417447306792,49.118787405672634,74,47,23
2001,72.05207110241358,50.00905088062622,62,43,11
2002,70.38560013046315,48.44342791911284,49,17,0
2003,71.69853228962819,48.14486301369863,64,41,18
2004,71.10016588602655,49.32864949258392,33,6,0
2005,72.58238747553816,49.30978473581214,72,15,1
2006,75.49628180039136,50.033398564905426,97,50,25
2007,70.98533594259627,50.329054142204825,34,11,2
2008,72.21677075201664,48.22184491282856,58,19,6
2009,71.08139121152823,48.40251141552513,56,24,11
2010,71.6561519302615,49.74649647156497,74,28,12
2011,75.12117891241184,49.81059775840601,104,84,64
2012,75.43649610862721,51.65538582546782,84,55,29
2013,70.28092569530929,47.85261519302614,61,17,2
2014,71.16797426317973,47.9117559153176,63,26,1
2015,72.0786799501868,50.26313823163142,63,12,0
2016,74.25027322404374,51.38586686537505,80,23,1
2017,73.73826484018271,50.81598173515985,57,20,3
2018,71.59245053272446,49.23308980213093,70,19,3
2019,71.13675622343652,49.26241651487553,66,27,5
