years,TMAX,TMIN,t90,t95,t100
1947,48.91197809969759,32.20155960394107,0,0,0
1948,63.78488571199773,44.34980743154677,14,5,0
1949,66.5262301050151,46.58653869160418,26,10,0
1950,63.42757819409103,44.44215261609544,8,0,0
1951,64.83722326917561,44.809880908626596,8,0,0
1952,64.80437450375975,45.30304006507557,29,5,0
1953,66.28636212030975,45.60871272582889,30,11,1
1954,65.00411666911607,44.4669050936942,23,5,1
1955,64.54549515404194,44.84199424260474,32,14,0
1956,63.36266210624726,44.50770684134903,13,1,0
1957,64.93486658467603,45.080238301503925,27,7,2
1958,61.64575737899082,43.21184108818258,5,0,0
1959,65.38865817511818,45.21229947013655,26,2,0
1960,63.105346129440214,43.24987194762865,4,0,0
1961,63.09730593607309,43.74045147114358,15,0,0
1962,62.33514093452812,42.30381112598848,9,1,0
1963,63.226617092752626,41.841008571657426,17,9,0
1964,64.5122061342294,43.073966928000594,22,2,0
1965,63.43356033296195,42.80501743149906,13,0,0
1966,63.4156431239993,42.89692734326478,30,5,2
1967,62.44356223684989,42.61916800094883,5,0,0
1968,63.77079478378013,43.48333694394954,23,2,0
1969,63.08954006585029,43.95387547731206,11,0,0
1970,63.397665457433185,43.84587741621097,18,0,0
1971,63.84504882054612,44.37333794853151,10,0,0
1972,62.55734490820017,43.185307920874564,15,0,0
1973,65.41483754190286,45.378469667590345,20,4,0
1974,64.22720042485915,44.26522958313608,8,0,0
1975,64.43437203931664,45.581015221625684,10,2,0
1976,63.512962151779604,43.217241321568345,11,0,0
1977,63.85057570819097,44.2925454531571,17,4,0
1978,62.019384277739135,42.95930655202089,6,1,0
1979,62.949578209558275,44.46684375456505,7,0,0
1980,63.9621916478221,44.17965054203067,29,5,0
1981,63.44256989505722,43.58203834357582,12,0,0
1982,63.59240890299879,43.6799739544941,9,0,0
1983,64.72701159290921,44.730052070816285,43,9,0
1984,63.5822542571033,44.17906407017712,10,2,0
1985,64.53838363030867,44.48771037181997,10,0,0
1986,64.41115940536274,44.16014167839689,11,3,0
1987,64.5662484979572,44.16457704831512,27,5,0
1988,64.00247844847843,42.81589909930994,43,10,0
1989,62.95467370918561,43.6287007742294,13,0,0
1990,66.68672310813291,45.96628161358271,13,1,0
1991,66.76120579281942,45.21474706777686,32,5,0
1992,63.040693994075134,43.217232380552055,7,0,0
1993,64.43744388166225,43.903981811902845,30,6,0
1994,64.47444590797326,43.594429223744285,16,4,0
1995,64.27703397059555,43.86923177279343,22,2,0
1996,62.5143732174109,43.92537459883773,3,0,0
1997,63.91851455626715,43.44495893238336,17,4,0
1998,66.72179289716362,46.73292716918538,13,0,0
1999,65.96774395699157,44.590287044161606,34,13,0
2000,63.5955610969763,43.39027601058775,8,0,0
2001,65.54614348557521,44.700532349065334,13,4,0
2002,65.76464147536528,45.450810243433075,34,12,0
2003,61.95670917868965,43.64976607915736,9,0,0
2004,63.407068777258566,44.82808385012873,3,0,0
2005,64.58226010231058,44.804165207539384,24,5,0
2006,66.15668926363233,46.0550687428409,15,5,0
2007,64.5777926135388,44.713361641962955,13,0,0
2008,64.49531180161033,44.50411678724881,12,2,0
2009,62.788840136871826,44.373705271806564,4,0,0
2010,65.2758283615802,45.66382455737504,34,6,2
2011,65.28242933719051,45.74463798797987,24,4,2
2012,66.20701096436417,46.5826759827602,27,6,0
2013,63.28535761340114,44.36080731160836,14,2,0
2014,62.43114407926802,42.61046231909838,5,0,0
2015,64.64826953273051,44.47951076320942,15,0,0
2016,65.77415001114308,45.04518660065136,28,2,0
2017,64.83012202569526,45.492586218555935,9,0,0
2018,63.93503329233647,45.48362912384373,21,3,0
2019,64.82051937297045,45.32178711633839,16,2,0
