years,TMAX,TMIN,t90,t95,t100
1947,46.49253731343283,33.798507462686565,0,0,0
1948,61.938979963570155,42.59995446265938,5,2,0
1949,63.83273972602744,44.22054794520547,14,1,0
1950,60.238630136986274,41.79986301369861,2,0,0
1951,61.797260273972604,42.59780821917808,6,0,0
1952,62.43324225865218,43.92040072859743,23,2,0
1953,64.0904109589041,44.866666666666696,20,5,0
1954,62.32602739726031,43.60273972602735,9,1,0
1955,62.72237442922373,43.407305936073065,19,1,0
1956,61.0437158469945,43.103825136612,3,0,0
1957,62.16666666666664,43.645662100456626,13,0,0
1958,59.042009132420084,41.649315068493145,1,0,0
1959,63.11689497716896,43.3502283105023,14,0,0
1960,60.035974499089264,41.770491803278716,0,0,0
1961,61.17123287671234,42.136986301369866,6,0,0
1962,60.797260273972576,40.993607305936095,9,0,0
1963,60.361643835616455,39.33789954337901,8,0,0
1964,62.37295081967212,41.86429872495442,6,0,0
1965,61.22557077625574,41.75936073059361,5,0,0
1966,60.68424657534246,41.5349315068493,16,3,0
1967,60.924657534246606,41.14611872146116,5,0,0
1968,60.62795992714025,40.12613843351549,10,0,0
1969,60.594748858447524,40.412100456620976,8,0,0
1970,61.54977168949771,42.09954337899539,2,0,0
1971,61.64132420091321,41.752739726027386,3,1,0
1972,60.37545537340622,41.27254098360656,4,0,0
1973,62.546118721461156,44.27990867579909,12,0,0
1974,61.53082191780825,42.31917808219178,2,0,0
1975,61.20319634703202,42.963470319634695,4,1,0
1976,59.39162112932607,39.40391621129325,0,0,0
1977,60.31849315068496,41.13675799086758,7,0,0
1978,59.310182648401785,41.49027397260277,5,0,0
1979,59.45616438356166,40.39223744292238,0,0,0
1980,59.18715846994535,38.930327868852466,6,2,0
1981,59.51095890410959,38.75753424657535,1,0,0
1982,61.05205479452055,39.65890410958904,0,0,0
1983,60.50684931506849,40.627397260273966,6,0,0
1984,60.60382513661202,39.91120218579235,1,0,0
1985,60.86438356164385,40.016438356164386,3,0,0
1986,60.87808219178083,41.6972602739726,2,0,0
1987,62.17123287671236,42.17625570776257,8,0,0
1988,61.69353369763206,39.480418943533714,35,6,1
1989,59.90319634703194,40.219178082191775,5,0,0
1990,63.31461187214612,43.16849315068494,0,0,0
1991,64.53789954337897,44.015981735159826,19,0,0
1992,60.741803278688536,42.583788706739526,0,0,0
1993,61.73744292237443,43.34931506849315,19,1,0
1994,62.06118721461183,42.222602739726014,12,1,0
1995,62.3557077625571,42.75707762557077,23,8,1
1996,60.33287795992714,41.72905282331511,3,0,0
1997,60.63515981735159,42.35570776255709,7,0,0
1998,64.71278538812788,46.328767123287676,7,0,0
1999,63.93949771689498,43.679908675799076,23,2,0
2000,61.288023679417115,42.8488160291439,0,0,0
2001,62.90776255707764,43.968036529680354,6,0,0
2002,62.51575342465753,43.62808219178083,20,0,0
2003,59.857762557077635,42.21324200913247,0,0,0
2004,60.751821493624774,43.18010018214936,0,0,0
2005,61.824657534246576,42.870547945205466,15,0,0
2006,62.12716894977169,43.59360730593607,7,0,0
2007,62.39086757990868,42.6945205479452,13,0,0
2008,61.004098360655746,41.453551912568315,2,0,0
2009,60.53447488584475,41.7920091324201,0,0,0
2010,61.81255707762557,42.86232876712329,13,0,0
2011,62.22183626875408,44.21323222439661,14,2,0
2012,64.6763054037644,45.23906561713939,20,3,0
2013,61.1247336377473,42.44530876277452,6,0,0
2014,59.959507501630796,40.22967492933247,0,0,0
2015,62.59056968906289,42.57030876277454,4,0,0
2016,64.02325114927568,43.688275219012915,10,0,0
2017,63.332507066753685,43.6055229397695,2,0,0
2018,61.56457925636008,43.633920417482045,12,0,0
2019,62.77795125336109,43.40337410009543,2,0,0
