years,TMAX,TMIN,t90,t95,t100
1947,51.32835820895522,41.10447761194029,0,0,0
1948,60.49166666666664,43.91489071038251,9,0,0
1949,61.99191780821921,43.0623287671233,7,0,0
1950,61.18013698630132,43.35260273972603,12,1,0
1951,62.83821917808219,43.96178082191781,9,2,0
1952,63.23497267759564,43.76502732240439,13,5,0
1953,62.76301369863018,45.91424657534247,5,1,0
1954,60.969726027397286,43.83945205479453,0,0,0
1955,59.61456621004565,42.8613698630137,5,2,0
1956,61.47786885245902,43.5624316939891,8,3,1
1957,62.181963470319644,44.20155251141552,4,0,0
1958,65.7527397260274,46.862465753424644,20,5,1
1959,61.99493150684927,44.78150684931504,7,2,0
1960,61.739754098360635,43.748087431693996,12,2,0
1961,63.609726027397286,45.256712328767115,13,6,2
1962,62.33575342465749,44.37315068493148,6,0,0
1963,61.82803652968037,44.18401826484018,3,0,0
1964,60.7301327088212,42.37050481394744,1,0,0
1965,63.761226353555145,44.19292889758642,7,3,1
1966,63.6193607305936,44.039034572733186,2,0,0
1967,64.91896934116116,44.276490541422035,23,8,0
1968,62.533060109289615,43.94255789747592,7,0,0
1969,62.24447488584475,43.5433789954338,2,0,0
1970,63.312602739726,43.10776255707762,13,2,0
1971,61.4385779517287,43.11762557077624,11,4,0
1972,62.63265677855838,43.20810564663024,17,3,1
1973,62.76249184605349,43.4715198956295,8,1,0
1974,63.049836921069776,43.402478799739065,15,0,0
1975,61.5174168297456,43.05061969993477,3,0,0
1976,61.95283632578713,42.619958365860015,1,0,0
1977,62.51479452054789,42.84904109589042,15,7,4
1978,62.2818917155903,43.371441617743024,12,4,2
1979,63.1215655577299,43.57469015003261,8,3,1
1980,62.19912828519389,43.20604996096801,4,1,0
1981,63.831872146118705,44.04470971950424,16,7,5
1982,62.087710371819995,42.886131767775595,7,2,0
1983,62.33843444227003,44.54130463144158,2,2,0
1984,61.796396044756726,43.510096278948716,4,0,0
1985,61.2211937377691,41.00321591650357,11,3,0
1986,63.679543378995454,44.58100456621004,13,3,0
1987,65.10776255707758,44.35321591650359,19,3,0
1988,63.41803278688526,43.73661202185794,14,7,1
1989,62.57188519243315,43.51559034572735,4,0,0
1990,63.376908023483374,44.59973907371169,15,5,0
1991,63.40322243966075,44.193555120678425,9,1,0
1992,65.96787665886022,45.64212854540723,18,8,1
1993,62.19112850619697,43.660769732550534,7,2,0
1994,64.000782778865,44.595225048923695,6,4,1
1995,64.25324200913244,45.97201565557729,7,3,0
1996,62.8173605689999,44.171813470379035,16,5,0
1997,63.65891606871061,45.23438247445096,7,0,0
1998,63.578890964438926,45.7756205894562,16,4,1
1999,62.88770374982704,44.73383354088835,6,0,0
2000,62.45659394491364,44.155864657504026,5,1,0
2001,63.148548498685464,44.0215303722153,5,1,0
2002,63.716340805313386,44.292799225128014,11,4,1
2003,64.55547391725474,45.61989968174899,20,4,0
2004,64.06521706132364,45.86938441794997,9,4,1
2005,63.49253948486824,44.18452469904525,12,1,0
2006,63.85130206171303,44.050737512107325,15,6,3
2007,62.52818221352466,43.58465970863229,8,2,0
2008,61.966237314598,43.853451079885524,13,4,1
2009,63.19125788214832,44.13370950206564,17,5,3
2010,62.47962818003915,45.61371385083716,12,5,0
2011,60.68581707485821,44.278417047184185,6,0,0
2012,62.652767329816456,45.21980815177539,8,3,0
2013,62.37559429915594,44.74757160647575,5,0,0
2014,64.37885429638857,46.5938729763387,12,1,0
2015,66.17795765877952,46.66239103362396,19,7,2
2016,64.21073025335325,46.84143070044707,13,6,0
2017,63.09337484433377,45.087721046077185,18,6,2
2018,64.80789539227894,46.07863013698631,25,5,0
2019,62.669393387426155,44.920442816139555,7,2,0
