years,TMAX,TMIN,t90,t95,t100
1947,31.940298507462693,18.2636815920398,0,0,0
1948,55.782786885245905,36.19216757741349,23,6,0
1949,56.46666666666666,37.047488584474905,29,9,0
1950,51.56438356164382,32.98264840182647,9,2,0
1951,50.616438356164466,33.8945205479452,1,0,0
1952,55.140255009107456,36.80282331511838,13,0,0
1953,56.40365296803654,37.85525114155251,13,1,0
1954,54.77123287671233,37.861643835616434,5,0,0
1955,55.21917808219178,36.164383561643845,28,10,2
1956,54.533242258652095,36.08151183970855,8,4,1
1957,54.530136986301365,36.51917808219178,7,0,0
1958,55.45374429223745,36.018675799086736,5,0,0
1959,55.08904109589043,35.38447488584474,14,0,0
1960,54.40869763205824,34.3558743169399,12,1,0
1961,55.33767123287674,35.465342465753444,9,1,0
1962,54.15593607305935,33.89063926940639,1,0,0
1963,56.131780821917836,35.128630136986324,9,1,0
1964,56.484699453551904,35.64672131147542,27,5,0
1965,52.24136986301369,33.84561643835614,5,0,0
1966,53.56794520547949,33.56328767123286,11,0,0
1967,53.38301369863019,33.59616438356164,0,0,0
1968,55.06106557377048,35.85027322404369,6,0,0
1969,54.115068493150694,34.81904109589042,8,0,0
1970,53.81753424657535,34.34986301369865,11,0,0
1971,53.90109589041096,34.669452054794505,4,0,0
1972,51.30874316939896,32.615300546448076,6,0,0
1973,55.675068493150675,37.699726027397254,7,0,0
1974,54.648219178082215,34.985205479452055,7,3,0
1975,54.1197260273973,35.417123287671245,9,1,0
1976,56.05846994535518,34.072131147541015,17,4,0
1977,55.260547945205424,35.97726027397259,7,1,0
1978,53.68,33.94552511415527,9,0,0
1979,51.971095890410936,33.56767123287671,1,0,0
1980,55.143169398907105,35.06516393442625,10,2,0
1981,56.235662100456594,36.65319634703194,1,0,0
1982,53.64328767123288,34.55767123287673,6,3,0
1983,54.252465753424694,37.04552511415525,17,0,0
1984,55.0096539162113,36.47067395264116,6,0,0
1985,53.67826484018261,34.13114155251144,3,1,0
1986,55.64831050228307,37.06639269406391,4,0,0
1987,60.503470319634644,40.18794520547944,21,2,0
1988,58.096994535519144,35.988797814207636,43,17,5
1989,55.12621004566204,33.44383561643835,10,0,0
1990,58.40613176777556,36.688193085453356,6,2,1
1991,56.218525766471025,35.99315068493154,12,1,0
1992,55.1334406713505,36.093530444964884,3,0,0
1993,53.48586105675145,34.288111545988265,4,0,0
1994,56.08589367253751,35.47058056099153,3,1,0
1995,54.92230919765165,35.61917808219177,15,3,1
1996,52.73407277300724,32.564337756960704,5,1,0
1997,54.836834094368285,35.60773211567733,5,0,0
1998,59.143945422918044,39.66139160687107,6,0,0
1999,58.34409436834099,37.905821917808225,17,5,0
2000,56.54777625986643,36.62468123861567,6,0,0
2001,57.62960969776042,37.601453576864536,21,5,0
2002,56.09219939117203,37.50242009132421,12,1,0
2003,56.52792998477929,36.25126331811264,12,2,0
2004,55.967197935640606,36.96164996964182,3,0,0
2005,57.21347792998477,38.50273972602741,15,2,0
2006,57.98707871276368,39.46149706457929,13,5,0
2007,56.603883452924535,37.74120787127638,15,0,0
2008,53.88283567525375,34.5680436291092,0,0,0
2009,54.299627092846286,35.613508371385095,2,0,0
2010,56.57430745814306,37.737686453576885,7,0,0
2011,55.40158295281582,37.104931506849354,8,3,0
2012,59.10774134790529,39.764086217364934,11,4,0
2013,52.509589041095865,34.68587519025878,8,0,0
2014,51.38082191780817,33.34298325722982,0,0,0
2015,56.41990867579909,38.541582952815816,1,0,0
2016,57.048391013964704,39.7704614450516,4,0,0
2017,55.939762991954794,37.92354316155683,1,0,0
2018,53.86850402261362,36.67267340726245,8,1,0
2019,52.21250216844481,35.706566050828336,2,0,0
