years,TMAX,TMIN,t90,t95,t100
1947,48.818976214498605,38.06582820164909,0,0,0
1948,57.34612257652873,41.55051852813425,0,0,0
1949,59.33584362968935,40.895939654400564,1,0,0
1950,58.04560233682514,40.85864893902762,0,0,0
1951,59.89054148936678,41.200439656756735,4,0,0
1952,59.90007258583622,41.81460311955285,1,0,0
1953,60.09979091564527,43.793785147801024,0,0,0
1954,58.23482416085874,42.04113674597448,0,0,0
1955,56.268109994298115,40.513147480573565,1,0,0
1956,58.70425635502019,41.744351771961796,2,0,0
1957,59.52785492976328,42.422889423733906,0,0,0
1958,63.163844298834746,44.938332720735495,4,1,0
1959,58.816134177775936,42.79172333196677,1,0,0
1960,58.812781706489524,42.64093918532802,4,1,0
1961,60.33828274688869,43.314123242904465,2,0,0
1962,59.249820932939436,42.87825006715014,0,0,0
1963,59.5394263256853,43.46429442865831,1,0,0
1964,57.547775085012404,41.879956180295906,0,0,0
1965,59.988447995155724,42.9678712460711,3,0,0
1966,59.67031368543571,43.249352295592615,0,0,0
1967,60.901595935177745,43.52729093920674,3,0,0
1968,59.623499276759894,42.763980633236905,0,0,0
1969,59.53494292237445,42.237392559763634,0,0,0
1970,59.576985150224466,41.53189949320088,1,0,0
1971,58.19198002910329,41.3069421446134,3,0,0
1972,58.4136589503393,41.121272009224036,2,0,0
1973,59.4885665362035,41.92308056099152,0,0,0
1974,59.8530603642933,42.301448140900185,0,0,0
1975,58.29630463144168,41.67125131717594,0,0,0
1976,59.301098275585936,42.434346539162114,0,0,0
1977,59.83023636852002,42.367033977974735,5,0,0
1978,59.750471777752225,43.07292227850045,4,0,0
1979,60.638967710371816,42.66999711475741,3,0,0
1980,59.504127384455316,42.94514401809482,0,0,0
1981,60.780769732550496,43.34375482964521,5,3,0
1982,59.28555170856547,41.697949721511385,2,0,0
1983,59.920710522354355,42.80100255908475,0,0,0
1984,59.43724854380597,41.81027692708018,0,0,0
1985,58.445015486796294,39.96616328876603,3,0,0
1986,60.49026544232024,43.34951076320941,1,0,0
1987,61.74436248682822,43.2471473731748,0,0,0
1988,59.86109609880099,43.022636061570495,3,0,0
1989,59.59402378443475,42.7156806663656,0,0,0
1990,59.549340841806575,43.28639032200677,3,0,0
1991,59.891341763259575,43.50655326408752,1,0,0
1992,61.787010348485786,44.05713616984109,0,0,0
1993,59.47284952490429,42.59563541481352,1,0,0
1994,60.51572833559132,43.49507752521451,3,0,0
1995,61.40304512838761,44.00309367953204,2,0,0
1996,58.91649279682069,42.32945851962247,0,0,0
1997,60.296300678013,44.03655458696552,0,0,0
1998,60.35427884900489,44.391779415409545,3,1,0
1999,58.892733704651505,43.269260693644235,0,0,0
2000,59.13278697622962,43.10244814384159,0,0,0
2001,59.07137620370495,43.342180741632795,0,0,0
2002,59.32920417482062,43.395524612373904,0,0,0
2003,60.74480355261178,44.543623864719756,2,0,0
2004,61.06908464941249,45.20834484277108,2,1,0
2005,60.43364393597273,44.39870791309148,0,0,0
2006,60.18984796025897,43.82335490993024,4,0,0
2007,58.8283105022831,43.62940037131817,1,0,0
2008,57.625742108529,42.760360495606385,0,0,0
2009,59.283767374178375,43.10108359676853,4,2,1
2010,59.207172964022256,44.364105073009135,2,0,0
2011,56.90590345727333,42.167718525766475,0,0,0
2012,58.35483021077283,43.327805425448865,2,0,0
2013,58.890812133072394,43.79531800391392,0,0,0
2014,61.035404435746955,45.33109915198956,1,0,0
2015,62.25908387274822,45.893583471323176,3,0,0
2016,60.817297183690606,45.58514581957204,1,0,0
2017,59.434181343770334,43.6387099202168,2,0,0
2018,60.4806312409052,44.88073460785787,0,0,0
2019,59.40770489377047,44.10355527896513,0,0,0
