years,TMAX,TMIN,t90,t95,t100
1947,48.55650319829425,33.78038379530917,0,0,0
1948,66.50396825396824,46.104605776736925,40,7,0
1949,67.02061317677753,47.48858447488588,30,3,0
1950,64.60071754729286,45.4917808219178,7,0,0
1951,64.60943248532288,45.4648401826484,23,3,0
1952,68.50513921415559,47.236729117876656,66,26,10
1953,70.03536855838227,48.387501630789274,78,37,12
1954,69.79642857142858,48.59934768427919,79,51,19
1955,68.20908349641225,47.638829093281146,57,20,0
1956,68.20264116575589,47.36762945615406,46,11,1
1957,66.32182648401826,47.64345727332029,37,7,0
1958,64.55757990867572,45.525068493150684,26,1,0
1959,66.67776255707761,47.10287671232876,40,5,0
1960,64.41712204007285,45.91193078324228,31,11,0
1961,65.21488584474886,45.56730593607306,22,1,0
1962,65.50894977168943,45.56365296803655,22,3,2
1963,66.55013698630135,44.98383561643836,36,7,1
1964,67.39690346083786,46.70018214936247,45,8,1
1965,67.39579908675805,46.42849315068493,22,5,1
1966,65.20812785388128,44.74232876712327,32,11,5
1967,65.70100456621002,44.9709589041096,18,0,0
1968,65.50277777777774,44.877393963049705,33,6,0
1969,64.99908675799091,44.82538812785388,37,2,0
1970,66.31876712328764,45.48872146118722,32,10,1
1971,67.69219178082189,45.421917808219206,41,8,0
1972,65.16306921675768,44.666393442622955,40,6,0
1973,66.33470319634704,46.912968036529655,29,2,0
1974,65.73315068493153,44.66520547945208,28,10,0
1975,65.83260273972603,45.52538812785385,38,3,0
1976,66.1817395264117,42.926502732240436,29,10,0
1977,65.80671232876709,45.24091324200914,32,9,0
1978,63.56949771689498,42.822785388127826,40,4,0
1979,63.81027397260275,41.649086757990865,26,4,0
1980,66.81425318761384,44.89116575591985,63,37,13
1981,66.11757990867575,44.73881278538812,15,3,0
1982,65.00616438356164,44.005707762557066,13,3,0
1983,65.17237442922375,44.78561643835614,64,30,6
1984,65.77140255009105,44.639344262295076,41,9,2
1985,64.63356164383559,43.86689497716896,24,1,0
1986,67.2041095890411,46.24109589041096,29,9,0
1987,68.13356164383562,45.8438812785388,52,14,2
1988,67.19918032786883,43.96161202185796,53,27,7
1989,65.13940639269407,43.73082191780821,31,5,0
1990,68.29547945205482,46.88602739726029,37,13,1
1991,67.49077625570773,47.12461187214612,47,9,1
1992,65.808014571949,45.13201275045535,12,0,0
1993,63.45095890410961,44.87456621004565,31,3,0
1994,66.16506849315071,45.522602739726,31,1,0
1995,65.42780821917812,45.091232876712354,36,12,0
1996,64.04795081967215,43.30068306010925,28,1,0
1997,63.790730593607215,44.77671232876715,27,5,0
1998,67.21082191780819,49.164383561643845,24,7,0
1999,67.6327853881279,46.95566210045663,38,11,1
2000,65.37873406193081,45.5596994535519,23,2,0
2001,67.08342465753425,46.843972602739726,31,4,0
2002,66.65589041095896,46.98429223744294,43,9,0
2003,65.45246575342465,45.958767123287686,27,5,0
2004,65.79316939890715,46.81999089253189,9,0,0
2005,66.98721461187218,47.48666666666667,46,13,1
2006,68.17132420091319,47.77812785388133,45,14,0
2007,68.01168949771686,47.799360730593605,42,15,2
2008,64.55678506375229,44.93911657559201,17,2,0
2009,64.91584474885845,45.95589041095893,16,3,0
2010,66.74776255707759,46.86712328767121,46,8,1
2011,66.9978538812786,47.6289497716895,51,25,4
2012,70.55273224043715,48.98260473588338,63,31,17
2013,64.98150684931514,45.46561643835618,34,8,1
2014,64.23940639269406,44.69986301369863,21,6,0
2015,67.19401826484022,48.006849315068514,27,3,0
2016,68.66639344262289,49.4269581056466,50,6,0
2017,69.57771689497723,48.86849315068487,42,9,2
2018,66.50196347031961,47.33570776255708,56,5,0
2019,65.90960837887066,46.7764116575592,36,0,0
