years,TMAX,TMIN,t90,t95,t100
1947,76.4029850746269,59.98009950248756,0,0,0
1948,83.29280510018214,66.12795992714024,60,1,0
1949,83.08219178082193,65.93675799086758,54,0,0
1950,81.81506849315069,64.39337899543379,63,1,0
1951,82.09200913242009,64.70068493150686,93,3,0
1952,81.18647540983606,64.38934426229507,79,2,0
1953,81.2349315068493,65.28561643835616,48,3,0
1954,80.38356164383562,64.01027397260275,36,0,0
1955,81.08219178082193,64.48744292237443,56,0,0
1956,81.15437158469945,64.31033697632058,53,1,0
1957,81.43972602739727,66.0,44,0,0
1958,79.45,64.43219178082192,80,1,0
1959,81.14315068493151,65.78493150684932,56,0,0
1960,80.57012750455374,63.818306010928964,65,1,0
1961,81.77534246575344,64.57876712328768,72,1,0
1962,80.45821917808219,63.92214611872146,53,0,0
1963,80.00753424657535,63.003652968036526,54,0,0
1964,80.76548269581056,63.96971766848815,48,2,0
1965,80.99771689497716,64.00776255707764,32,0,0
1966,79.82374429223744,63.27328767123288,30,0,0
1967,81.65616438356166,64.14406392694063,35,0,0
1968,79.87158469945355,62.44239526411657,47,0,0
1969,79.91141552511415,63.248401826484006,55,0,0
1970,80.72397260273972,63.19520547945206,72,0,0
1971,82.42922374429222,64.39817351598172,60,0,0
1972,82.88342440801459,65.01548269581055,77,0,0
1973,81.8082191780822,64.58904109589038,80,0,0
1974,82.49497716894973,65.05388127853878,41,0,0
1975,83.3552511415525,65.50319634703193,88,1,0
1976,80.77367941712203,62.64571948998182,27,0,0
1977,81.07899543378996,63.71004566210045,84,3,0
1978,81.25616438356164,64.84657534246575,74,0,0
1979,81.03972602739726,65.08219178082193,59,0,0
1980,80.85245901639344,64.67213114754098,65,0,0
1981,80.78082191780824,62.73835616438356,60,2,0
1982,81.90136986301371,66.17945205479452,33,0,0
1983,79.68356164383562,64.21369863013699,40,0,0
1984,81.43852459016394,64.42213114754098,46,0,0
1985,82.76438356164385,65.58767123287672,79,4,0
1986,83.05479452054793,66.14794520547945,105,1,0
1987,81.59726027397261,64.85479452054793,95,1,0
1988,80.9207650273224,64.20491803278688,68,1,0
1989,82.40273972602739,65.54931506849314,91,0,0
1990,83.85068493150685,66.8986301369863,100,0,0
1991,82.56986301369865,66.82328767123288,80,1,0
1992,80.827868852459,64.91939890710383,66,0,0
1993,81.0150684931507,64.81506849315069,82,1,0
1994,82.18493150684931,66.43972602739726,57,1,0
1995,80.7945205479452,65.21506849315068,47,2,0
1996,80.34836065573771,64.55464480874315,52,1,0
1997,81.40136986301371,66.58219178082193,58,0,0
1998,81.69771689497719,67.54132420091322,74,5,0
1999,81.51164383561645,66.20136986301371,49,0,0
2000,81.6313752276867,65.6573315118397,80,1,0
2001,80.97671232876709,66.2730593607306,53,0,0
2002,81.59840182648401,66.4527397260274,50,0,0
2003,80.71826484018266,66.18767123287671,35,0,0
2004,81.04553734061929,66.10314207650272,53,0,0
2005,81.7,67.04931506849314,88,2,0
2006,82.03196347031962,66.99680365296804,64,0,0
2007,82.49794520547944,67.38698630136986,79,3,0
2008,81.91826047358835,66.37955373406193,72,1,0
2009,82.04109589041096,66.8013698630137,82,3,0
2010,79.89383561643838,64.67054794520548,100,5,0
2011,82.20114155251143,67.19589041095891,84,0,0
2012,82.32581967213116,67.4931693989071,43,0,0
2013,82.37351598173515,67.45228310502283,66,0,0
2014,80.87785388127854,66.02328767123288,65,2,0
2015,83.21621004566207,68.99748858447491,68,0,0
2016,82.39890710382508,67.78369763205829,73,1,0
2017,83.70136986301367,68.59086757990863,101,3,0
2018,82.65936073059358,67.99589041095892,86,0,0
2019,83.18123861566484,68.47677595628426,91,1,0
