years,TMAX,TMIN,t90,t95,t100
1947,50.74378109452735,38.23009950248756,0,0,0
1948,58.07723132969034,41.19858834244081,0,0,0
1949,59.83538160469666,40.550136986301396,1,0,0
1950,58.5692367906066,40.85616438356164,0,0,0
1951,60.43412915851275,41.09458577951726,4,1,0
1952,60.443208430913344,41.33274785323965,1,0,0
1953,60.56614481408997,43.3652315720809,0,0,0
1954,58.81154598825832,41.798303979125905,0,0,0
1955,57.01762557077633,40.24589693411613,2,1,0
1956,59.26311475409836,41.132513661202154,2,0,0
1957,60.01826484018264,41.86611872146117,0,0,0
1958,63.56356164383561,43.937808219178095,4,2,0
1959,59.558127853881224,41.83511415525114,2,0,0
1960,59.3610200364299,41.347267759562826,3,2,0
1961,60.986523157208154,42.412733202870186,3,0,0
1962,59.79686888454006,42.05707762557076,0,0,0
1963,60.13330724070447,42.52459882583173,1,0,0
1964,58.04135766328395,41.17115534738487,0,0,0
1965,60.794080234833615,42.21213307240707,2,0,0
1966,60.38933463796485,42.53922048271368,0,0,0
1967,61.67984344422698,42.99465101108935,4,0,0
1968,60.443224694249274,42.55981654957065,3,0,0
1969,60.10438356164383,42.00123939986953,1,0,0
1970,60.3205479452055,41.597716894977175,2,0,0
1971,59.100821917808226,41.608767123287656,5,0,0
1972,59.416120218579216,41.182695810564674,2,0,0
1973,60.50707762557082,42.01356164383564,0,0,0
1974,60.90082191780823,42.554383561643846,0,0,0
1975,59.63178082191781,41.992054794520506,0,0,0
1976,60.23734061930782,42.49913479052821,0,0,0
1977,60.900639269406355,42.31178082191778,6,0,0
1978,60.76141552511415,42.79794520547948,5,0,0
1979,61.63954337899544,42.3428310502283,3,0,0
1980,60.29631147540983,42.35000000000004,0,0,0
1981,61.62561643835613,42.75995433789953,7,3,0
1982,60.50301369863006,41.421232876712295,2,0,0
1983,61.03164383561646,42.741506849315094,0,0,0
1984,60.58456284153007,41.62868852459019,1,0,0
1985,59.32945205479447,39.67561643835617,3,0,0
1986,61.50739726027396,43.569315068493154,1,0,0
1987,62.74287671232874,43.22616438356166,0,0,0
1988,60.70209471766854,43.13556466302367,5,0,0
1989,60.585753424657604,42.98986301369862,0,0,0
1990,60.43497716894978,43.87059360730593,3,0,0
1991,60.75159817351592,43.871095890410935,1,0,0
1992,62.83160291438986,44.62727686703097,2,0,0
1993,60.286027397260284,42.75383561643834,1,0,0
1994,61.49726027397257,44.191232876712334,3,0,0
1995,62.265068493150714,45.06488584474888,3,0,0
1996,59.69080145719492,43.69990892531876,0,0,0
1997,60.896347031963465,44.87648401826485,0,0,0
1998,61.11392694063924,45.36027397260274,3,1,0
1999,59.25566210045659,43.849863013698624,0,0,0
2000,59.295491803278686,43.496584699453564,0,0,0
2001,59.44132420091319,43.7812785388128,0,0,0
2002,60.20922374429225,43.93835616438359,1,0,0
2003,60.690365296803634,45.32607305936072,1,0,0
2004,61.09735883424406,46.16557377049183,2,1,0
2005,60.63990867579909,45.21885844748857,0,0,0
2006,60.699406392694044,44.566347031963474,4,0,0
2007,59.1946118721461,44.738584474885855,1,0,0
2008,58.39348816029138,43.877094717668506,0,0,0
2009,59.461232876712295,43.65228310502281,3,2,0
2010,59.89470319634701,45.06543378995435,4,0,0
2011,58.36657534246575,42.58794520547946,0,0,0
2012,59.5014116575592,43.64826958105646,2,0,0
2013,60.114931506849324,44.414931506849335,0,0,0
2014,62.31716894977173,45.8282191780822,1,0,0
2015,63.19876712328768,46.78041095890411,6,0,0
2016,62.118488160291406,46.60400728597446,2,0,0
2017,60.53712328767122,44.71511415525114,2,0,0
2018,61.7797716894977,45.90054794520548,1,0,0
2019,60.472085610200374,45.12932604735883,0,0,0
