years,TMAX,TMIN,t90,t95,t100
1947,41.40298507462686,29.089552238805965,0,0,0
1948,58.860655737704924,41.233606557377044,12,3,0
1949,61.66575342465754,42.98356164383562,23,5,0
1950,59.08904109589041,40.553424657534244,3,0,0
1951,60.35433789954335,41.76255707762557,11,1,1
1952,61.984972677595636,43.16666666666666,34,13,1
1953,62.65753424657535,43.5,24,11,1
1954,60.65616438356165,42.59041095890411,16,1,0
1955,61.625570776255714,42.48401826484019,28,10,0
1956,59.829234972677604,41.33196721311475,11,2,0
1957,59.750684931506854,41.41369863013698,10,2,0
1958,59.13698630136986,40.00821917808219,2,0,0
1959,61.0,41.77534246575343,26,3,0
1960,59.31147540983606,40.31284153005465,4,0,0
1961,59.8054794520548,40.25890410958904,6,0,0
1962,59.31232876712329,40.454794520547935,16,2,0
1963,59.273972602739725,38.4986301369863,15,3,0
1964,61.110655737704924,40.629781420765035,24,4,0
1965,59.47808219178082,40.37123287671233,10,2,0
1966,59.490410958904114,39.82191780821917,23,3,0
1967,58.63287671232878,39.35342465753425,7,3,0
1968,60.43989071038251,40.790983606557376,17,6,0
1969,59.076712328767115,39.87808219178082,12,0,0
1970,59.4,40.46712328767124,8,1,0
1971,61.090410958904116,40.65616438356165,16,2,1
1972,57.972677595628426,39.747267759562845,8,2,0
1973,61.25616438356165,42.92465753424658,16,4,0
1974,59.405479452054784,39.86027397260274,15,3,0
1975,59.93561643835615,41.67808219178081,7,1,0
1976,58.959016393442624,37.55874316939891,12,1,0
1977,59.42876712328767,39.76986301369863,19,5,1
1978,58.21506849315068,38.43013698630136,22,2,0
1979,57.27260273972602,39.36438356164384,0,0,0
1980,57.96448087431694,39.57786885245903,10,1,0
1981,57.9972602739726,40.02054794520548,7,2,0
1982,58.97671232876712,40.26849315068493,5,0,0
1983,59.53835616438357,41.69315068493151,30,4,0
1984,58.799180327868854,41.05327868852459,10,1,0
1985,58.96849315068493,40.65068493150685,3,0,0
1986,59.40821917808219,41.494520547945214,7,0,0
1987,61.25205479452055,42.58493150684932,22,2,0
1988,60.08879781420765,39.819672131147534,39,12,2
1989,58.090410958904116,39.4013698630137,8,0,0
1990,61.85342465753425,43.206849315068496,5,0,0
1991,61.173972602739724,43.158904109589045,13,0,0
1992,58.86338797814208,42.1775956284153,1,0,0
1993,58.97945205479452,41.57808219178082,17,3,0
1994,60.12602739726027,40.56164383561644,10,4,0
1995,60.77671232876714,42.8,28,9,2
1996,59.133879781420774,41.48633879781421,12,2,0
1997,58.5,39.68904109589041,9,0,0
1998,63.56255707762558,45.24566210045661,20,1,0
1999,62.188127853881255,41.4269406392694,24,4,0
2000,59.0860655737705,40.71539162112933,2,0,0
2001,60.909589041095884,42.630136986301366,13,1,0
2002,61.46438356164385,42.682191780821924,29,4,0
2003,58.289041095890404,39.80821917808219,4,0,0
2004,60.0910746812386,41.653460837887074,7,0,0
2005,59.66712328767133,40.29178082191781,14,1,0
2006,61.184931506849296,42.197716894977155,9,1,0
2007,60.6456621004566,40.96118721461189,13,0,0
2008,59.66666666666668,39.66666666666668,8,0,0
2009,58.65068493150679,39.39269406392693,4,0,0
2010,61.13105022831049,41.68356164383562,17,2,0
2011,60.696803652968036,42.09954337899546,27,7,1
2012,63.53324225865214,43.07786885245904,28,7,3
2013,58.95753424657535,40.706849315068496,10,1,0
2014,57.267123287671225,38.26849315068493,4,0,0
2015,59.82328767123288,40.91780821917809,5,0,0
2016,62.203551912568315,43.14890710382514,18,1,0
2017,61.63287671232878,43.02739726027397,10,1,0
2018,60.384931506849306,42.915068493150685,24,2,0
2019,60.8551912568306,42.69398907103825,20,3,0
