years,TMAX,TMIN,t90,t95,t100
1947,64.61144278606965,37.37313432835821,0,0,0
1948,81.22239569780552,52.089594717668525,144,82,43
1949,81.13800747198002,52.4368866749688,135,91,27
1950,83.44469074304695,51.90407361284075,121,58,16
1951,80.54588349245886,51.098649508786494,124,95,37
1952,80.36118562675935,50.66529226693162,153,85,36
1953,81.59087726580879,49.809948111249454,127,89,35
1954,82.58647848346475,51.58413864674136,130,59,20
1955,81.03066971080672,48.8697108066971,119,64,29
1956,83.10853825136604,50.13109441408618,151,111,50
1957,81.17802130898022,52.271328549684725,124,72,36
1958,80.4525766470972,51.959246575342476,125,80,24
1959,81.870502283105,51.009802130898066,122,69,24
1960,81.232088646023,49.56349423193684,135,93,35
1961,80.72028158295281,50.281468797564685,121,60,26
1962,81.48657257506567,50.73921405839215,130,80,24
1963,82.91507254541504,51.78398436418983,154,88,39
1964,81.14264355104517,49.50909771012235,134,88,31
1965,80.42976061989759,49.47399246871847,132,69,17
1966,80.67045108620452,49.90910336239104,123,65,25
1967,81.26831880448314,50.376662515566636,117,59,10
1968,80.40338218248061,50.377545951316435,117,56,20
1969,80.93618481974644,51.347924449979274,128,88,26
1970,80.73127853881276,49.88916562889161,121,73,32
1971,79.58761035007609,48.57295696692953,95,66,23
1972,80.9579842137219,50.00546172103554,106,52,23
1973,79.47925418569255,49.196255707762575,117,73,25
1974,79.9150684931507,50.08831811263322,112,60,25
1975,79.29668949771687,48.336904761904755,115,54,13
1976,79.88865578107385,49.87739071038251,103,60,17
1977,80.60993150684929,51.37470645792565,117,74,26
1978,79.67744618395305,51.145352250489246,134,75,33
1979,79.7027397260274,49.21316046966732,122,80,32
1980,81.03425058548011,50.818989071038274,124,84,34
1981,81.12739726027395,51.85944227005871,116,70,26
1982,78.91324200913245,50.06436834094367,113,62,12
1983,79.05264187866919,50.939861926505785,108,73,13
1984,78.94898733628236,49.91408079625297,111,47,6
1985,79.57740813220265,50.565041313329026,103,65,36
1986,82.35682757121116,53.30982278756253,128,87,31
1987,81.82529354207436,52.82974559686889,136,87,43
1988,82.97804449648712,52.93315768930522,145,103,42
1989,84.50895303326809,53.27788649706458,167,122,46
1990,81.19088932376604,52.86786257882146,113,61,24
1991,81.34634159599914,52.702669058490976,145,95,33
1992,81.8033762685402,53.43808548009369,145,102,34
1993,82.18856816699278,53.879533594259605,134,98,41
1994,81.16846705805612,53.436891715590356,133,82,34
1995,80.18648184387915,52.42494346597088,103,65,28
1996,81.13064554601442,52.566947480267146,132,65,23
1997,79.31890084801043,51.861866710154295,124,66,20
1998,78.73817351598177,50.585417482061345,110,63,19
1999,81.06366818873668,51.08351489454225,108,36,5
2000,80.6423204527713,52.00325483563186,128,71,22
2001,80.09486004862718,52.16525825772399,130,56,12
2002,80.31706793967064,51.59929984779298,107,73,32
2003,81.21792306627927,53.18600940916011,137,90,33
2004,78.70556797483026,52.15129298448976,111,56,10
2005,80.07534246575345,53.174267330842646,108,64,33
2006,79.95556039850561,52.231095198560936,99,50,16
2007,80.16738384902769,52.676933933646275,111,66,24
2008,79.3658221559861,51.31636069607377,98,49,13
2009,80.76671938411666,52.13778009661574,129,69,22
2010,79.85892814947606,51.62532408231042,117,77,27
2011,80.65723303757751,51.22891848884389,132,89,28
2012,82.1834919406641,52.375853552185504,123,84,30
2013,79.80769188193841,51.59398026630904,113,65,24
2014,80.99420655448053,52.75637300294837,101,57,14
2015,80.07142446594503,52.85922906621536,113,60,17
2016,81.22183520790081,52.31543227567821,100,60,23
2017,82.6056011112176,53.24545167161606,130,67,26
2018,79.34353582490563,51.491851299385566,105,61,11
2019,77.19497615317282,50.39376622921704,97,60,15
