years,TMAX,TMIN,t90,t95,t100
1947,53.61194029850746,35.865671641791046,0,0,0
1948,69.24863387978142,48.669398907103826,33,8,0
1949,70.03013698630137,50.22465753424658,27,6,0
1950,68.63287671232878,48.27671232876714,13,2,0
1951,69.8082191780822,48.2986301369863,43,10,1
1952,70.43989071038251,48.81693989071038,49,16,7
1953,71.52876712328766,49.7068493150685,43,9,1
1954,70.20547945205479,48.08767123287672,48,17,2
1955,69.29178082191781,48.16164383561644,29,1,0
1956,69.44398907103825,48.144808743169406,46,4,0
1957,69.24703196347029,48.56529680365297,34,2,0
1958,67.80730593607298,46.031963470319646,26,0,0
1959,70.29908675799085,47.81872146118722,30,6,3
1960,68.25500910746814,45.728597449908925,30,0,0
1961,69.09908675799089,46.46803652968035,20,0,0
1962,68.80456621004565,46.66484018264841,34,2,0
1963,69.01917808219179,45.37397260273973,24,2,0
1964,69.724043715847,47.49180327868853,21,5,0
1965,70.78904109589041,46.01917808219178,23,6,0
1966,69.64383561643835,44.55616438356165,34,6,1
1967,70.58630136986301,44.67671232876712,17,0,0
1968,70.38251366120218,44.44262295081968,38,11,2
1969,69.33424657534246,44.9041095890411,24,4,0
1970,70.95068493150686,45.41095890410959,28,6,0
1971,70.23287671232876,46.54383561643836,12,0,0
1972,70.02732240437159,45.122950819672134,16,1,0
1973,70.91232876712328,46.405479452054784,19,0,0
1974,71.3821917808219,46.649315068493145,15,1,0
1975,71.31369863013698,47.28493150684932,31,3,0
1976,70.6256830601093,44.4139344262295,28,6,0
1977,71.0191780821918,46.332876712328776,54,20,6
1978,69.8027397260274,44.85205479452055,29,4,0
1979,69.02465753424657,44.30684931506849,21,0,0
1980,70.56830601092895,45.346994535519116,55,11,1
1981,70.04657534246576,44.61643835616438,34,6,0
1982,70.24383561643836,46.87945205479452,17,0,0
1983,69.8986301369863,45.673972602739724,50,22,6
1984,70.79781420765028,46.41803278688525,20,1,0
1985,71.04109589041096,46.602739726027394,31,0,0
1986,72.20821917808219,46.95890410958904,64,21,3
1987,71.33150684931506,46.32328767123288,46,13,0
1988,70.95355191256829,44.41256830601093,49,23,2
1989,70.1178082191781,46.48767123287672,19,0,0
1990,74.04657534246576,48.490410958904114,38,9,0
1991,72.81643835616438,48.34520547945207,38,8,0
1992,70.43715846994536,46.68306010928962,20,5,0
1993,71.24931506849316,46.901369863013706,47,13,0
1994,71.14246575342466,45.67671232876712,13,0,0
1995,70.7972602739726,45.153424657534245,39,9,1
1996,67.6426592797784,42.079234972677604,21,0,0
1997,68.49450549450549,40.518005540166214,24,2,0
1998,71.61963470319634,44.51689497716895,51,11,0
1999,69.2867579908676,46.351141552511386,29,3,0
2000,67.68169398907102,45.500000000000036,11,0,0
2001,69.04429223744295,45.92922374429222,6,0,0
2002,68.2808219178082,46.67671232876712,37,0,0
2003,66.72511415525115,46.8310502283105,3,0,0
2004,67.92531876138432,47.49635701275047,9,1,0
2005,68.59726027397261,47.574200913241995,15,2,0
2006,69.82625570776257,47.54497716894976,20,0,0
2007,70.9824200913242,48.028767123287665,43,9,0
2008,68.77367941712204,46.496812386156655,26,6,0
2009,67.48835616438356,46.681963470319616,8,0,0
2010,68.55273972602738,46.612785388127854,34,3,0
2011,69.72305936073059,47.351141552511436,34,2,0
2012,70.22563752276865,48.669854280509995,25,8,1
2013,66.70091324200915,46.6958904109589,2,0,0
2014,67.2328767123288,45.26849315068492,8,0,0
2015,69.52146118721463,48.48036529680363,21,0,0
2016,70.32377049180327,48.47017304189435,31,2,0
2017,69.99589041095889,48.24863013698632,12,0,0
2018,69.02648401826485,48.297716894977185,18,0,0
2019,70.88570127504548,48.4471766848816,42,2,0
